Image ID,Method 1,Method 2,Result
83,1,4,2
82,1,4,2
82,1,4,2
100,1,4,2
98,1,4,2
95,1,4,2
95,1,4,2
93,1,4,2
84,1,4,2
88,1,4,2
83,1,4,1
87,1,4,2
94,1,4,2
99,1,4,2
85,1,4,2
85,1,4,1
93,1,4,2
97,1,4,2
91,1,4,2
99,1,4,2
89,1,4,1
89,1,4,2
99,2,5,2
100,2,5,2
93,2,5,2
100,2,5,2
82,2,5,2
86,2,5,2
95,2,5,2
84,2,5,2
89,2,5,2
81,2,5,2
94,2,5,2
95,2,5,2
97,2,5,2
87,2,5,2
90,2,5,2
93,2,5,2
85,2,5,2
86,2,5,2
93,2,5,2
90,2,5,2
87,2,5,2
87,2,5,2
83,2,5,2
88,2,5,2
94,2,5,2
100,2,5,2
82,2,5,2
87,2,5,2
98,2,5,2
97,2,5,2
95,2,5,2
84,2,5,2
87,2,5,2
93,2,5,2
95,2,5,2
89,2,5,2
98,2,5,1
93,3,6,2
90,3,6,2
85,3,6,1
91,3,6,2
95,3,6,1
89,3,6,1
81,3,6,2
89,3,6,2
87,3,6,2
82,3,6,2
91,3,6,2
82,3,6,2
98,3,6,1
86,3,6,2
90,3,6,1
92,3,6,2
96,3,6,1
90,3,6,1
86,3,6,2
90,3,6,2
97,3,6,1
90,3,6,2
99,3,6,1
84,3,6,1
88,3,6,2
99,3,6,1
84,3,6,2
88,3,6,1
91,3,6,2
100,3,6,1
97,3,6,1
87,3,6,2
82,3,6,2
94,3,6,1
93,3,6,2
100,3,6,1
100,3,6,1
96,5,6,2
94,5,6,1
96,5,6,1
97,5,6,1
83,5,6,1
95,5,6,1
81,5,6,2
82,5,6,2
89,5,6,1
90,5,6,1
82,5,6,2
99,5,6,2
81,5,6,1
85,5,6,1
90,5,6,2
93,5,6,1
95,5,6,1
83,5,6,1
82,5,6,1
100,5,6,2
87,5,6,1
85,5,6,2
83,5,6,1
86,5,6,2
88,5,6,2
86,5,6,2
84,5,6,1
90,5,6,2
94,5,6,1
92,5,6,2
82,5,6,2
93,5,6,2
92,5,6,1
88,5,6,2
97,5,6,1
98,5,6,1
100,5,6,1
94,5,9,1
92,5,9,2
97,5,9,1
92,5,9,2
98,5,9,2
94,5,9,2
86,5,9,2
100,5,9,1
84,5,9,2
88,5,9,1
95,5,9,2
88,5,9,1
90,5,9,1
84,5,9,2
87,5,9,2
97,5,9,1
99,5,9,2
82,5,9,2
91,5,9,2
94,5,9,1
91,5,9,2
100,5,9,2
97,5,9,2
88,5,9,1
84,5,9,2
85,5,9,2
100,5,9,2
100,5,9,2
87,5,9,2
82,5,9,2
81,5,9,1
88,5,9,1
82,5,9,1
89,5,9,1
86,5,9,1
95,5,9,2
93,5,9,1
99,4,10,1
84,4,10,2
100,4,10,1
82,4,10,1
89,4,10,1
99,4,10,1
95,4,10,1
84,4,10,1
100,4,10,1
96,4,10,1
88,4,10,2
85,4,10,2
83,4,10,1
87,4,10,1
81,4,10,2
100,4,10,1
87,4,10,1
98,4,10,1
81,4,10,2
93,4,10,1
99,4,10,1
86,4,10,2
93,4,10,1
100,4,10,1
90,4,10,1
91,4,10,1
95,4,10,1
100,4,10,1
95,4,10,1
91,4,10,1
86,4,10,2
92,4,10,1
95,4,10,1
81,4,10,2
93,4,10,1
99,4,10,1
81,4,10,2
95,10,14,2
93,10,14,2
83,10,14,2
88,10,14,1
95,10,14,2
97,10,14,2
97,10,14,2
96,10,14,1
100,10,14,2
92,10,14,2
94,10,14,2
88,10,14,1
100,10,14,2
81,10,14,2
88,10,14,1
84,10,14,2
91,10,14,2
99,10,14,2
89,10,14,2
81,10,14,2
88,10,14,1
88,10,14,1
81,10,14,2
91,10,14,2
86,10,14,1
96,10,14,1
86,10,14,2
88,10,14,2
93,10,14,2
96,10,14,1
96,10,14,1
87,10,14,2
93,10,14,2
94,10,14,2
100,10,14,2
93,10,14,2
87,10,14,2
90,2,12,2
92,2,12,2
89,2,12,1
100,2,12,2
85,2,12,2
99,2,12,2
84,2,12,2
97,2,12,2
98,2,12,1
85,2,12,1
87,2,12,2
85,2,12,1
98,2,12,2
82,2,12,2
100,2,12,2
90,2,12,1
84,2,12,2
98,2,12,2
89,2,12,2
95,2,12,2
92,2,12,1
86,2,12,2
97,2,12,2
100,2,12,2
92,2,12,1
89,2,12,1
85,2,12,2
97,2,12,2
92,2,12,1
89,2,12,2
89,2,12,2
98,2,12,2
96,2,12,2
98,2,12,2
82,2,12,2
92,2,12,2
86,2,12,2
100,3,5,2
87,3,5,2
89,3,5,1
87,3,5,2
86,3,5,2
93,3,5,2
82,3,5,2
92,3,5,2
100,3,5,2
95,3,5,2
87,3,5,2
85,3,5,1
88,3,5,2
86,3,5,2
81,3,5,2
82,3,5,2
87,3,5,2
97,3,5,2
85,3,5,2
93,3,5,2
97,3,5,2
90,3,5,2
91,3,5,2
82,3,5,2
94,3,5,1
98,3,5,2
96,3,5,2
93,3,5,2
93,3,5,2
90,3,5,2
96,3,5,2
94,3,5,1
83,3,5,2
93,3,5,2
88,3,5,2
88,3,5,2
98,3,5,1
95,7,12,2
94,7,12,2
96,7,12,2
100,7,12,1
87,7,12,2
82,7,12,2
85,7,12,2
89,7,12,1
98,7,12,2
96,7,12,2
98,7,12,2
85,7,12,1
94,7,12,2
94,7,12,1
96,7,12,2
87,7,12,2
85,7,12,1
95,7,12,2
100,7,12,2
94,7,12,2
97,7,12,1
98,7,12,1
97,7,12,1
97,7,12,1
86,7,12,2
98,7,12,2
91,7,12,1
100,7,12,2
100,7,12,1
99,7,12,1
95,7,12,2
91,7,12,1
85,7,12,1
95,7,12,2
96,7,12,2
95,7,12,2
98,7,12,2
83,5,10,1
97,5,10,1
83,5,10,1
87,5,10,2
86,5,10,1
86,5,10,1
100,5,10,1
98,5,10,1
94,5,10,1
88,5,10,2
96,5,10,1
90,5,10,1
87,5,10,1
91,5,10,1
100,5,10,2
88,5,10,2
96,5,10,1
98,5,10,1
100,5,10,1
81,5,10,1
85,5,10,1
100,5,10,2
92,5,10,1
87,5,10,2
81,5,10,2
91,5,10,1
81,5,10,1
91,5,10,1
83,5,10,1
90,5,10,1
82,5,10,2
92,5,10,1
88,5,10,2
91,5,10,2
98,5,10,1
92,5,10,1
81,5,10,1
88,1,6,1
92,1,6,1
83,1,6,1
87,1,6,2
99,1,6,1
91,1,6,2
89,1,6,2
92,1,6,2
89,1,6,1
89,1,6,2
93,1,6,2
84,1,6,2
99,1,6,1
95,1,6,1
93,1,6,2
95,1,6,1
91,1,6,2
88,1,6,2
100,1,6,2
97,1,6,1
81,1,6,2
97,1,6,1
95,1,6,2
88,1,6,2
84,1,6,2
100,1,6,2
99,1,6,1
81,1,6,2
84,1,6,2
99,1,6,1
82,1,6,2
89,1,6,2
86,1,6,2
91,1,6,2
92,1,6,2
87,1,6,1
84,1,6,2
93,8,10,1
99,8,10,1
87,8,10,1
94,8,10,1
93,8,10,1
82,8,10,2
87,8,10,1
97,8,10,1
93,8,10,1
96,8,10,1
84,8,10,1
83,8,10,1
89,8,10,2
83,8,10,1
90,8,10,2
100,8,10,2
100,8,10,1
88,8,10,2
89,8,10,2
93,8,10,1
84,8,10,1
92,8,10,1
86,8,10,2
82,8,10,1
92,8,10,1
89,8,10,2
89,8,10,2
93,8,10,1
94,8,10,1
85,8,10,2
92,8,10,1
86,8,10,2
98,8,10,2
98,8,10,2
91,8,10,1
89,8,10,2
100,8,10,1
95,2,7,2
83,2,7,2
99,2,7,2
83,2,7,2
